,Title,published_date,Views,Likes,Dislikes,Comments,Month
74,Is Data Science Dying?,2021-11-19,126264,3904,0,361,Nov
75,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8614,401,0,113,Nov
76,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3654,202,0,44,Nov
77,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,14369,305,0,39,Oct
78,ML Ops: What is it REALLY?,2021-10-22,7298,286,0,66,Oct
79,Business Skills for Data Science: What are they REALLY?,2021-10-18,6964,303,0,50,Oct
80,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2222,122,0,5,Oct
81,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,6047,283,0,64,Oct
82,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,13107,534,0,108,Aug
83,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10434,436,0,32,Aug
84,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,42517,1633,0,32,Aug
85,How I Learned to Learn.,2021-07-31,51052,2360,0,209,Jul
86,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,11309,611,0,51,Jul
87,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2470,92,0,30,Jul
88,Why are APIs Important for Data Science?,2021-07-09,10784,474,0,95,Jul
89,Is Your Phone REALLY Listening to You?,2021-07-03,5274,278,0,116,Jul
90,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,17549,651,0,123,Jun
91,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4132,226,0,39,Jun
92,#66DaysOfData - What is it? #shorts,2021-06-11,9578,400,0,54,Jun
93,A Quick Data Science Project Tip! #SHORTS,2021-06-03,17050,1030,0,89,Jun
94,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7562,390,0,195,May
95,How Data Science Projects Pay Off,2021-05-22,11100,611,0,146,May
96,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10778,489,0,134,May
97,What is a lambda function (python)? #shorts,2021-05-13,16246,979,0,49,May
98,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,34237,1757,0,63,May
99,What is Pandas? (Data & Data Science) #shorts,2021-04-30,25495,1307,0,85,Apr
100,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77776,3433,0,285,Apr
101,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23702,698,0,85,Apr
